,0,1,2
0,White Mountains National Recreation Area,65.4274972,-147.24336110000002
1,Safford,32.831844399999994,-109.72415559999999
2,Carrizo Plain National Monument,35.1898639,-119.8632972
3,Central Coast Field Office,36.3591667,-120.76916670000001
4,Piedras Blancas Historic Lightstation Outstanding Natural Area,35.665627799999996,-121.28435
5,King Range Wilderness,40.056791700000005,-123.97563059999999
6,Mcinnis Canyons National Conservation Area,39.1194417,-108.53338059999999
7,Lower Holter Lake/Missouri R,,
8,Red Rock Canyon National Conservation Area,46.99553686,-112.01193822
9,North Umpqua Wild and Scenic River ,36.1313889,-115.3838889
10,Fishermen's Bend Recreation Area,36.146266,-115.419201
11,Hyatt Reservoir,43.4977778,-123.49305559999999
12,Rogue Wild & Scenic River,43.3836111,-122.9463889
13,Siuslaw River SRMA,43.3808333,-122.9475
14,Price,43.398611100000004,-122.9275
15,San Juan River,43.4852778,-123.48444440000002
16,The Ledge Campground,44.7575,-122.5102778
17,Moonflower Canyon Recreation Area,44.5858333,-122.35083329999999
18,Yakima River Canyon,42.1669778,-122.46413329999999
19,Westwater Canyon River,43.2966667,-122.89333329999998
20,Gunnison,43.485025,-123.4842667
21,Salmon Wild and Scenic River,42.5830556,-123.59520559999999
22,Desolation Canyon,43.380448,-122.9481
23,Sixes River,43.90508,-123.56833
24,Dillion,39.8394444,-109.91416670000001
25,Axolotl Lakes,37.1797222,-110.90083329999999
26,Moab Daily River,38.481080600000006,-109.6021889
27,Canyon Rims,37.2630556,-109.6122222
28,Labyrinth Rims | Gemini Bridge,38.55388060000001,-109.586925
29,Labyrinth Rims -Gemini Bridge,37.52444439999999,-109.89577779999999
30,Ken's Lake Recreation Area,46.7994444,-120.4613889
31,Lower Deschutes Wild and Scenic River,39.088770000000004,-109.10396999999999
32,Bears Ears National Monument,45.35611110000001,-121.98666670000001
33,Mary's Peak Extensive,39.833611100000006,-109.94166670000001
34,Salt Lake Field Office,42.8152,-124.4109278
35,Hauser Lake,45.0763889,-112.7902778
36,Sand Flats Recreation Area,45.24055560000001,-111.8713889
37,Indian Creek Recreation Area,38.810469399999995,-109.3075889
38,Shotgun Creek OHV Staging Area,38.73828889999999,-109.35176940000001
39,Little North Santiam River ,38.177511100000004,-109.4622
40,Coeur d'Alene Lake,38.635813899999995,-109.8049389
41,Parker Strip Recreation Area,38.5843111,-109.81423889999999
42,Rio Chama Wild and Scenic River,38.47661110000001,-109.47241670000001
43,John Day Wild and Scenic River,38.609669399999994,-109.55781940000001
44,Little Sahara Recreation Area,38.648638899999995,-109.47975829999999
45,Canyon Ferry Lake,38.57575,-109.6334111
46,Jamestown Reservoir,45.1773278,-121.07360829999999
47,Stony Gorge Reservoir,38.2052778,-109.6338889
48,New Melones Lake,38.1702778,-109.32403889999999
49,Lake Berryessa,38.7592194,-123.48782220000001
50,Haystack Reservoir,44.320561100000006,-112.78280559999999
51,Okefenokee National Wildlife Refuge,40.03561111,-111.2261389
52,Kenai National Wildlife Refuge,41.67769444,-109.62100600000001
53,Kodiak National Wildlife Refuge,38.145151,-111.568147
54,Wichita Mountains Wildlife Refuge,45.606848,-111.569723
55,Kilauea Point National Wildlife Refuge,45.609394,-111.88876
56,Blackwater National Wildlife Refuge,46.74094,-109.5270972
57,Eastern Neck National Wildlife Refuge,38.5676972,-119.78486670000001
58,Nara Region,38.747938899999994,-111.80949440000002
59,Lake Clark National Park & Preserve,46.7015917,-122.84638600000001
60,Katmai National Park & Preserve,44.228751,-122.45583059999998
61,Denali National Park & Preserve,44.7977806,-111.81865
62,Kenai Fjords National Park,46.6917,-116.0877778
63,Cedar Breaks National Monument,47.26833333,-114.21505
64,Dinosaur National Monument,34.2108778,-106.728495
65,Colorado National Monument,36.5823722,-109.10141999999999
66,Grand Teton National Park,39.08638,-120.81083333
67,Timpanogos Cave National Monument,44.30264986,39.72623
68,Chaco Culture National Historical Park,-67.6931,-111.58787779999999
69,Yellowstone National Park,46.521075,-111.702225
70,Chiricahua National Monument,46.647433299999996,-111.64012779999999
71,Canyonlands National Park,46.617655600000006,-111.70771670000002
72,Capitol Reef National Park,46.6579361,-111.7348194
73,White Sands National Park,46.6563583,-98.7413889
74,Organ Pipe Cactus National Monument,47.006944399999995,-122.52944440000002
75,Buffalo National River,39.5941667,-120.50805559999999
76,Indiana Dunes National Park,37.9838889,-120.5402778
77,Sleeping Bear Dunes National Lakeshore,38.0075,-122.2291389
78,Cuyahoga Valley National Park,38.5507361,-121.14916670000001
79,Ozark National Scenic Riverways,44.4916667,-82.30713890000001
80,Pictured Rocks National Lakeshore,30.8040917,-151.0480556
81,Voyageurs National Park,60.387222200000004,-152.4961111
82,Theodore Roosevelt National Park,57.7583333,-98.7339286
83,Apostle Islands National Lakeshore,34.7214603,-76.10609699999999
84,Prince William Forest Park,38.446523,-76.132401
85,Greenbelt Park,39.024570000000004,-76.11965
86,George Washington Memorial Parkway,38.444856,-77.0227778
87,Catoctin Mountain Park,38.8925,-155.7780556
88,Fort Washington Park,58.55972220000001,-148.89751940000002
89,National Mall and Memorial Parks,63.73655279999999,-149.656225
90,Frederick Douglass National Historic Site,59.886841700000005,-154.17700000000002
91,Rock Creek Park,60.3093333,63.728443000000006
92,Presidents Park,-31.113428000000003,-112.82916670000002
93,Fort Dupont Park,37.6119444,-109.25305559999998
94,Antietam National Battlefield,40.4406611,-109.24472779999999
95,Chesapeake & Ohio Canal National Historical Park,40.4224028,-108.73286110000001
96,Cape Cod National Seashore,39.104805600000006,-110.71916670000002
97,Acadia National Park,43.6530556,-111.70944440000001
98,Shenandoah National Park,40.4405556,-107.95833329999999
99,Assateague Island National Seashore,36.0277778,-108.89166670000002
100,Gateway National Recreation Area,40.725,-110.5011111
101,Independence National Historical Park,44.6147222,-109.3552778
102,Fire Island National Seashore,32.0111111,-109.17222220000001
103,Sagamore Hill National Historic Site,40.4958333,-109.7600389
104,Delaware Water Gap National Recreation Area,38.168786100000005,-111.2513889
105,Gettysburg National Military Park,38.2791528,-106.17194440000002
106,New River Gorge National River,32.779166700000005,-108.99074440000001
107,Minute Man National Historical Park,40.5204583,-112.8113889
108,Home Of Franklin D Roosevelt National Historic Site,31.9425,-111.2468889
109,Eleanor Roosevelt National Historic Site,38.2824861,-86.0947
110,Vanderbilt Mansion National Historic Site,45.0124639,-86.0427778
111,Sequoia & Kings Canyon National Parks,44.8916667,-86.1177778
112,San Francisco Maritime National Historical Park,44.7127778,-92.76388890000001
113,Oregon Caves National Monument & Preserve,35.9866667,-93.1597222
114,Great Basin National Park,36.0621306,-81.5166667
115,Craters Of The Moon National Monument & Preserve,41.220555600000004,-92.5569444
116,Big Bend National Park,36.0730556,-90.9830556
117,Zion National Park,36.9625,-91.4083333
118,Rocky Mountain National Park,37.283055600000004,-91.44972220000001
119,Grand Canyon National Park,37.1472222,-91.4830556
120,Glacier National Park,37.334444399999995,-91.28277779999999
121,Tumacácori National Historical Park,37.1938889,-91.5694444
122,Chickasaw National Recreation Area,37.383055600000006,-86.3627071997073
123,Mesa Verde National Park,46.558312499759396,-86.2177639001555
124,Bandelier National Monument,46.6391459995757,-86.166158699134
125,Black Canyon Of The Gunnison National Park,46.663952999981696,-93.3768333
126,Curecanti National Recreation Area,48.6027778,-103.5322222
127,Bryce Canyon National Park,46.95,-103.5055556
128,Arches National Park,46.9416667,-90.9691667
129,Carlsbad Caverns National Park,46.5622222,-86.305125
130,Great Sand Dunes National Park & Preserve,41.67196617,-86.98378623
131,Big South Fork National River & Recreation Area,44.89615,-86.02006
132,Great Smoky Mountains National Park,47.5941667,-103.3338889
133,Mammoth Cave National Park,38.56355907351039,-77.36013815579147
134,Cape Lookout National Seashore,38.9838889,-76.8933333
135,Cape Hatteras National Seashore,38.714722200000004,-77.05333329999999
136,Blue Ridge Parkway,39.6538889,-77.4669444
137,Gulf Islands National Seashore,39.639644399999995,-77.4462972
138,Big Cypress National Preserve,39.6771667,-77.48438890000001
139,Canaveral National Seashore,38.7108333,-77.0291667
140,Congaree National Park,38.5525,-77.3491667
141,Obed Wild & Scenic River,38.889444399999995,-77.0355556
142,Cumberland Island National Seashore,38.8633333,-76.985
143,North Cascades National Park,38.5583333,-77.3427778
144,Whiskeytown National Recreation Area,38.5819444,-77.3733333
145,Joshua Tree National Park,39.6604167,-77.48186109999999
146,Golden Gate National Recreation Area,38.9636111,-77.04722220000001
147,Yosemite National Park,38.894722200000004,-77.03611109999999
148,Olympic National Park,38.8591667,-76.97
149,Mount Rainier National Park,38.862777799999996,-77.03657220000001
150,Death Valley National Park,38.8927833,-77.05972220000001
151,Channel Islands National Park,39.474166700000005,-77.7444444
152,Lassen Volcanic National Park,38.9786778,-77.21607220000001
153,Pearl Harbor National Memorial,38.9716667,-77.19972220000001
154,Point Reyes National Seashore,39.5646417,-78.71791390000001
155,Santa Monica Mountains National Recreation Area,39.624733299999995,-78.3848417
156,Pinnacles National Park,39.6094472,-77.9699083
157,Lake Roosevelt National Recreation Area,39.4190694,-77.7465444
158,Haleakal&#257; National Park,39.5415806,-78.4596889
159,Saguaro National Park,41.958112,-70.074826
160,George Washington Birthplace National Monument,41.847716,-69.94838100000001
161,Muir Woods National Monument,41.922855,-69.978429
162,Perry's Victory & International Peace Memorial,41.926891999999995,-69.97720100000001
163,Pecos National Historical Park,41.958068,-69.993971
164,Adams National Historical Park,38.76005,-78.2978694
165,Carl Sandburg Home National Historic Site,38.2487,-78.67057220000001
166,Mount Rushmore National Memorial,38.5286194,-78.438725
167,Degray Lake,38.0833333,-75.2
168,Lake Shelbyville,44.3097222,-68.2080556
169,Lake Red Rock,40.595833299999995,-73.8858333
170,Sardis Lake,39.9486111,-75.1505556
171,Lake Ouachita,44.2386111,-68.30277779999999
172,Grenada Lake,40.4491667,-73.9961111
173,Greeson Lake,40.6035917,-74.0588056
174,Enid Lake,40.699722200000004,-72.9628667
175,Coralville Lake,40.8863889,-73.49861109999999
176,Ashtabula Lake,41.0840278,-74.97458329999999
177,Rend Lake,38.6578417,-78.3680694
178,Saylorville Lake,39.8252778,-77.2438889
179,Mississippi River - Pools 11-22,37.8301667,-81.06311109999999
180,Carlyle Lake,37.830169399999996,-81.0631194
181,Mississippi River Headwaters - Cross Lake,44.381494399999994,-68.06836109999999
182,Arkabutla Lake,42.4487583,-71.2729556
183,Mark Twain Lake,38.23411110000001,-78.72161109999999
184,Eau Galle Lake,39.7897222,-77.25138890000001
185,Mississippi River Headwaters - Winnibigosh Lake,44.0281972,-68.65312220000001
186,Mississippi River Headwaters - Leech Lake,41.76639758,-73.92516857
187,Mississippi River Headwaters - Pokegema Lake,44.310803,-68.188303
188,Mississippi River Headwaters - Sandy Lake,36.6361111,-118.80972220000001
189,Mississippi River Headwaters - Gull Lake,36.606711100000005,-118.7258
190,Wappapello Lake,36.737777799999996,-118.96472220000001
191,Mississippi River - Pool 9,36.7872222,-118.6652778
192,Hop Brook Lake,36.517444399999995,-118.800375
193,West Thompson Lake,36.521055600000004,-118.7625972
194,Knightville Dam,37.8077028,-122.42075559999999
195,Tioga-Hammond Lakes,36.744675,-118.9617861
196,Jennings Randolph Lake,42.0956,-123.4058
197,Raystown Lake,39.00551110000001,-114.21998059999999
198,Cowanesque Lake,36.6041667,-118.73305559999999
199,Ball Mountain Lake,38.9896944,-114.22133329999998
200,Hopkinton-Everett Lake,36.7902778,-118.67194440000002
201,Northfield Brook Lake,43.472777799999996,-113.56694440000001
202,Edward MacDowell Lake,37.8066667,-122.4238889
203,Buffumville Lake,29.32781489536829,-103.20595580099622
204,Westville Lake,37.1986111,-112.9863889
205,Townshend Lake,40.3291667,-105.59333329999998
206,North Hartland Lake,40.3625,-105.60194440000001
207,Union Village Dam,36.2102778,-112.06055559999999
208,Blue Marsh Lake,36.0497222,-112.12046940000002
209,Tully Lake,48.7508333,-113.4469444
210,Cold Brook Lake,48.5477778,-113.98527779999999
211,Cottonwood Springs Lake,40.4222222,-105.6202778
212,Fort Peck Project,31.5675,-111.0511111
213,Bennington Lake,34.4375,-97.0094444
214,Lucky Peak Lake,34.4288889,-96.9897222
215,Melvern Lake,37.2,-108.4899972
216,Harry S. Truman Lake,35.8327778,-106.35694440000002
217,Rathbun Lake,35.796111100000005,-106.27916670000002
218,Pomona Lake,29.275,-103.3041667
219,Stockton Lake,29.1825,-102.9608333
220,Lake Sacajawea,29.1804,-102.9561
221,Lewis and Clark Lake,34.46,-97.02
222,Milford Lake,34.505,-96.9675
223,Pomme De Terre Lake,38.5505556,-107.68666670000002
224,Dworshak Reservoir,38.4677778,-107.1758333
225,Sakakawea Lake,38.4588889,-107.33
226,Lake Wallula,38.491111100000005,-107.09694440000001
227,Harlan County Lake,38.4852778,-107.24
228,"John Day Lock and Dam, Lake Umatilla",38.485555600000005,-107.17222220000001
229,Perry Lake,37.63444439999999,-112.16694440000002
230,Wilson Lake,38.7769444,-109.5891667
231,Clinton Lake,29.136944399999997,-103.5222222
232,Cottage Grove Lake,32.175277799999996,-104.44333329999999
233,Lake Pend Oreille,38.601944399999994,-109.62
234,Kanopolis Lake,48.525,-113.9836111
235,Dorena Lake,37.7333333,-105.51666670000002
236,Tuttle Creek Lake,48.796675,-113.67734170000001
237,Lake Oahe,37.201666700000004,-112.98555559999998
238,Lake Sharpe,-74.442362,40.366723
239,William H. Harsha Lake,-67.001588,37.19057
240,Cave Run Lake,35.65138889999999,-83.0744444
241,Youghiogheny River Lake,35.46,-83.43861109999999
242,J Percy Priest Lake,35.6594444,-83.5863889
243,Buckhorn Lake,35.7522222,-83.10888890000001
244,Old Hickory Lake,35.7527778,-83.20611109999999
245,Barkley Lake,35.7713889,-83.2072222
246,Lake Cumberland,35.6036111,-83.7705556
247,Dale Hollow Lake,35.5533333,-83.3086111
248,Cordell Hull Lake,37.1833333,-86.15
249,Center Hill Lake,37.1902778,-86.09138890000001
250,Carr Creek Lake,37.207222200000004,-86.1316667
251,Cheatham Lock and Dam,35.7127778,-83.38416670000001
252,Rough River Lake,35.6863889,-83.5019444
253,Barren River Lake,35.6802778,-83.64944440000001
